Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
NYSE,KBH,KB Home,26.89,$2.57B,1986,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/kbh,1,0,0,0,0,0,1,0,"Los Angeles, CA",P,P,N,F,P,N,N,N,N,,35,35,895
NYSE,KBR,"KBR, Inc.",17.65,$2.47B,2006,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/kbr,1,0,0,0,0,0,1,0,"Houston, TX",P,P,N,N,N,N,N,N,N,,20,20,424
NYSE,K,Kellogg Company,61.96,$21.38B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/k,1,0,0,1,0,1,1,1,"Battle Creek, MI",F,F,F,F,F,F,F,F,F,,100,100,210
NasDaq,KELYA,"Kelly Services, Inc.",26.12,$1B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/kelya,1,0,0,0,0,0,1,0,"Troy, MI",F,F,F,F,F,F,F,P,F,,95,95,471
NYSE,KMB,Kimberly-Clark Corporation,118.56,$41.89B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/kmb,1,0,0,1,0,1,1,1,"Irving, TX",F,F,F,F,F,F,F,F,F,,100,90,140
NYSE,KND,"Kindred Healthcare, Inc.",6,$522.11M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/knd,1,0,0,0,0,0,1,0,"Louisville, KY",P,P,N,N,N,N,N,N,N,,20,10,491
NasDaq,KLAC,KLA-Tencor Corporation,105.3,$16.52B,1980,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/klac,1,0,0,0,0,0,1,0,"Milpitas, CA",P,N,N,F,N,N,N,P,N,,25,25,769
NYSE,KSS,Kohl&#39;s Corporation,42.14,$7.1B,1992,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/kss,1,0,0,0,0,1,1,0,"Menomonee Falls, WI",F,F,F,F,F,F,F,F,P,,95,60,157
NasDaq,KHC,The Kraft Heinz Company,77.74,$94.71B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/khc,1,0,0,0,0,0,1,0,"Pittsburgh, PA",F,F,F,F,F,F,N,F,P,,80,,
NYSE,KR,Kroger Company (The),21.3,$18.95B,n/a,Consumer Services,Food Chains,http://www.nasdaq.com/symbol/kr,1,0,0,0,1,0,1,0,"Cincinnati, OH",F,F,F,F,F,F,F,F,P,,95,95,20
NYSE,LB,"L Brands, Inc.",41.84,$11.88B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/lb,1,0,0,0,0,0,1,0,"Columbus, OH",F,F,F,F,F,F,F,F,P,,95,95,262
NYSE,LVLT,"Level 3 Communications, Inc.",55.36,$20.08B,2011,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/lvlt,1,0,0,0,0,0,1,0,"New York, NY",P,P,N,F,F,N,N,N,N,,40,20,252
NYSE,LH,Laboratory Corporation of America Holdings,149.6,$15.23B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/lh,1,0,0,0,0,0,1,0,"Burlington, NC",P,P,N,N,N,N,N,N,N,,20,20,440
NYSE,LVS,Las Vegas Sands Corp.,62.01,$49.07B,2004,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs,1,0,0,0,0,1,1,0,"Las Vegas, NV",P,N,N,N,N,N,N,N,N,,10,10,209
NYSE,LEA,Lear Corporation,173.37,$11.79B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lea,1,0,0,0,0,0,1,0,"Southfield, MI",F,F,F,F,F,F,F,F,F,,100,85,174
