Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,CEI_Score_2017,CEI_Score_2016,Fortune_1000_Rank,Diff,Reco
NYSE,PX,"Praxair, Inc.",142.21,$40.68B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/px,1,0,0,0,1,1,1,0,"Danbury, CT",F,F,F,F,F,F,F,F,F,,100,95,249,5,Strong Buy
NYSE,RSG,"Republic Services, Inc.",63.33,$21.33B,1998,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/rsg,1,0,0,0,0,0,1,0,"Phoenix, AZ",F,F,F,F,F,N,F,F,P,,85,80,323,5,Moderate Buy
NYSE,CRM,Salesforce.com Inc,96.94,$69.67B,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/crm,1,0,0,0,0,1,1,0,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,95,483,5,Strong Buy
NYSE,WMB,"Williams Companies, Inc. (The)",29.87,$24.69B,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/wmb,1,0,0,0,0,1,1,0,"Tulsa, OK",F,F,F,F,F,N,N,F,F,,80,85,370,-5,Strong Buy
NYSE,DPS,"Dr Pepper Snapple Group, Inc",89.25,$16.22B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/dps,1,0,0,0,1,0,1,0,"Plano, TX",F,F,N,F,F,N,N,N,P,,55,60,437,-5,Moderate Buy
NYSE,MSI,"Motorola Solutions, Inc.",89.93,$14.63B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/msi,1,0,0,1,0,1,1,0,"Schaumburg, IL",F,F,N,F,F,N,F,F,P,,75,80,363,-5,Moderate Buy
NYSE,OMI,"Owens & Minor, Inc.",27.98,$1.71B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/omi,1,0,0,0,0,0,1,0,"Mechanicsville, VA",F,F,F,F,F,N,F,F,P,,80,85,309,-5,Hold
NasDaq,COST,Costco Wholesale Corporation,159.85,$69.89B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost,1,0,0,0,1,1,1,0,"Issaquah, WA",F,F,N,F,F,N,F,F,N,,70,80,18,-10,Moderate Buy
NYSE,CCK,"Crown Holdings, Inc.",60.7,$8.19B,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cck,1,0,0,0,0,0,1,0,"Philadelphia, PA",N,N,N,N,N,N,N,N,N,,0,10,318,-10,Strong Buy
NYSE,HST,"Host Hotels & Resorts, Inc.",19.51,$14.44B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hst,1,0,0,0,0,0,1,0,"Bethesda, MD",N,N,N,F,N,N,N,N,N,,10,20,485,-10,Strong Buy
NYSE,GPC,Genuine Parts Company,95.86,$14.08B,n/a,Capital Goods,Automotive Aftermarket,http://www.nasdaq.com/symbol/gpc,1,0,0,0,0,0,1,0,"Atlanta, GA",N,N,N,N,N,N,N,N,N,,0,20,199,-20,Moderate Buy
NasDaq,SCHL,Scholastic Corporation,37.64,$1.32B,1992,Consumer Services,Books,http://www.nasdaq.com/symbol/schl,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,N,N,F,P,,75,65,,10,Hold
