Name,Fund Type,AUM (US$ millions),Mgmt Fee %,Exp Ratio %,YTD %,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco,Other / Qualitative,Shareholder Engagement
NBSRX - Neuberger Berman Socially Resp Inv,Equity Large Cap,2393.16,0.73,0.86,9.97,7.93,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X,Yes,Yes
NRARX - Neuberger Berman Socially Resp R3,Equity Large Cap,2393.16,0.73,1.29,9.66,7.47,C,C,P,P,P,P,P,X,P,P,X,R,X,X,X,Yes,Yes
NBSTX - Neuberger Berman Socially Resp Tr,Equity Large Cap,2393.16,0.87,1.03,9.9,7.77,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X,Yes,Yes
NRAAX - Neuberger Berman Socially Responsive A,Equity Large Cap,2393.16,0.73,1.05,9.87,7.74,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X,Yes,Yes
NRACX - Neuberger Berman Socially Responsive C,Equity Large Cap,2393.16,0.73,1.79,9.28,6.93,C,C,C,P,P,P,P,X,P,P,X,R,X,X,X,Yes,Yes
NBSLX - Neuberger Berman Socially Responsive I,Equity Large Cap,2393.16,0.62,0.68,10.12,8.14,C,C,C,P,P,P,P,P,P,P,X,R,X,X,X,Yes,Yes
PAFSX - Parnassus Asia Fund,Int'l Global,15.36,1.1,1.25,13.87,3.64,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R,Yes,Yes
PRBLX - Parnassus Core Equity Fund,Equity Large Cap,15612.1,0.6,0.88,8.52,7.68,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R,Yes,Yes
PARWX - Parnassus Endeavor Fund,Equity Specialty,4588.2,0.69,0.95,11.19,14.05,P *,P,P,P,P,P,P,R,P,P,R,P,R,R,R,Yes,Yes
PRFIX - Parnassus Fixed Income Fund,Bond (Fixed Inc),243.2,0.5,0.68,3.61,2.37,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R,Yes,Yes
PARNX - Parnassus Fund,All Cap,1029.39,0.62,0.84,8.01,8.54,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R,Yes,Yes
PARMX - Parnassus Mid Cap Fund,Equity Mid-Sm Cap,2564.98,0.74,0.99,8.94,9.37,P,P,P,P,P,P,P,R,P,P,R,P,R,R,R,Yes,Yes
PAXWX - Pax Balanced Fund - Individual Investor,Balanced,1955.9,0.75,0.77,8.22,4.91,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PAXIX - Pax Balanced Fund - Institutional Investor,Balanced,1955.9,0.75,0.52,8.39,5.17,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
PAXBX - Pax Core Bond fund Individual,Bond (Fixed Inc),689.07,0.4,0.72,3.12,0,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X,,Yes
PXBIX - Pax Core Bond fund Institutional,Bond (Fixed Inc),689.07,0.4,0.47,3.28,0,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X,,Yes
PXWEX - Pax Ellevate Global Women's Index Fund - Individual Investor,Equity Specialty,156.09,0.65,0.98,15.16,6.22,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R,,Yes
PXWIX - Pax Ellevate Global Women's Index Fund - Institutional Class,Equity Specialty,156.09,0.65,0.74,15.31,6.45,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R,,Yes
PAXDX - Pax ESG Beta Dividend Fund Individual,Equity Large Cap,139.89,0.65,0.9,8,0,--,--,C,--,C,C,C,R,C,C,C,C,R,--,X,,Yes
PXDIX - Pax ESG Beta Dividend Fund Institutional,Equity Large Cap,139.89,0.65,0.65,8.17,0,--,--,C,--,C,C,C,R,C,C,C,C,R,--,X,,Yes
PXGAX - Pax ESG Beta Quality Fund - Class A,Equity Large Cap,199.53,0.65,1.06,11.47,7.81,C *,C,C,C,C,C,C,R,C,C,C,C,X,C,X,,Yes
