"Name","Fund Type","Attribute Type","Attribute","Rating","Count","Avg % 3 yr","Avg % 1 yr","Avg % 5 yr","Avg % 10 yr","Mgmt Fee %","Exp Ratio %","AUM (US$ millions)"
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Animal Welfare","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Defense/Weapons","X",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Gambling","X",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Tobacco","X",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Community Development","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Diversity & EEO","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Human Rights","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Labor Relations","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Social","Sudan","R",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Environmental","Climate/Clean Technology","C",1,6.81,15.84,11.21,4.92,0.00,1.26,135.17
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Environmental","Environment","C",1,6.81,15.84,11.21,4.92,0.00,1.26,135.17
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Environmental","Pollution/Toxics","C",1,6.81,15.84,11.21,4.92,0.00,1.26,135.17
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Governance","Board Issues","C",1,6.81,15.84,11.21,4.92,0.00,1.26,135.17
"CAAAX - Calvert Aggressive Allocation Fund A","Equity Specialty","Governance","Executive Pay","C",1,6.81,15.84,11.21,4.92,0.00,1.26,135.17
